Common Name,Scientific Name,Month observed at,Identification Agreements,Comments,Internal Positional Accuracy,Public Positional Accuracy,Quality Grade,Geoprivacy,Latitude,Longitude
Blood Snake,Stenorrhina freminvillei,September,2,0,40,40,research,open,-90.1541931555,20.4016100877
Peninsula Stripeless Snake,Coniophanes meridanus,September,4,0,15,15,research,open,-90.1484438404,20.4039524521
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,September,11,1,?,30415,research,obscured,-89.7684787509,21.0564532043
Central American Indigo Snake,Drymarchon melanurus,September,8,0,?,? ,research,open,-89.821094,21.195788
,Epictia vindumi,September,5,0,139,139,research,,-89.5267714933,21.0756961697
Green Vine Snake,Oxybelis fulgidus,September,7,0,?,? ,research,open,-89.9328002928,20.6308574675
Central American Boa,Boa imperator,September,7,0,291,291,research,open,-89.6010780707,21.045679109
Peninsula Stripeless Snake,Coniophanes meridanus,September,4,0,77,77,research,open,-89.5895522833,20.9892633487
Pygmy Snail Sucker,Geophis sanniolus,September,4,0,4,4,research,open,-89.5964883333,21.0583083333
Variable Coralsnake,Micrurus diastema,September,6,0,1702,1702,research,open,-90.2443346403,20.8561194509
,Conophis lineatus concolor,September,3,0,14284,14284,research,open,-89.5925858617,20.9677882782
Green Vine Snake,Oxybelis fulgidus,September,4,0,68,68,research,open,-89.5621317059,20.812486705
Central American Boa,Boa imperator,September,7,0,1953,1953,research,open,-89.6063078813,20.9529980469
Mexican Parrot Snake,Leptophis mexicanus,September,3,0,1953,1953,research,open,-89.1054404433,21.1465270311
Central American Boa,Boa imperator,September,5,0,1953,1953,research,open,-89.227536437,20.9850566329
Central American Boa,Boa imperator,September,5,0,1953,1953,research,open,-89.4579924516,20.9606927344
Mexican Parrot Snake,Leptophis mexicanus,September,2,0,14284,14284,research,open,-89.5925857,20.9673702
Central American Boa,Boa imperator,September,6,0,16,16,research,open,-89.5929426706,21.067320227
Variable Coralsnake,Micrurus diastema,September,5,0,?,? ,research,open,-89.65862427,21.0489049297
Central American Boa,Boa imperator,September,6,0,?,? ,research,open,-89.54029,20.951334
Central American Boa,Boa imperator,August,4,1,22,22,research,open,-89.6103216667,21.0307666667
Central American Indigo Snake,Drymarchon melanurus,September,6,0,362155,362155,research,open,-90.285114096,20.4423713082
Central American Boa,Boa imperator,September,6,0,275,275,research,open,-89.5465806812,21.0857459414
Central American Boa,Boa imperator,September,5,0,24,24,casual,open,-89.5941813561,21.0482935918
Yucatán Neotropical Rattlesnake,Crotalus tzabcan,September,8,0,?,30434,research,obscured,-89.5060630263,20.9308389229
,Conophis lineatus concolor,September,4,0,?,? ,research,open,-89.6130789722,20.8386169722
Yucatecan Dwarf Short-tail Snake,Tantillita canula,August,3,0,?,? ,research,open,-88.4481689722,20.590982
Central American Boa,Boa imperator,August,3,0,?,? ,research,open,-88.4553219722,20.63144
Central American Boa,Boa imperator,September,7,0,28,28,research,open,-89.5499158272,21.0660343391
,Leptodeira frenata yucatanensis,September,3,2,81,81,research,open,-89.5620171442,20.8125058101
Peninsula Stripeless Snake,Coniophanes meridanus,September,4,0,39,39,research,open,-89.5614980534,20.8133015021
,Conophis lineatus concolor,Unknown,1,0,?,? ,casual,open,-89.267423,21.101258
Road Guarder,Conophis lineatus,September,4,0,?,? ,research,open,-90.0472564697,21.1636238097
Variable Coralsnake,Micrurus diastema,August,8,0,235,235,research,open,-89.7708750337,20.3656362412
Rainforest Cat-eyed Snake,Leptodeira frenata,September,6,0,74,74,research,open,-89.5620123143,20.8125258999
Black-striped Snakes,Coniophanes,September,8,1,65,65,needs_id,open,-89.6135166667,21.095025
Brahminy Blindsnake,Indotyphlops braminus,Unknown,0,0,8760,8760,casual,,-89.5865777135,21.0094674251
Snakes,Serpentes,August,9,0,371,371,needs_id,,-89.6290571988,21.0744084809
Central American Boa,Boa imperator,August,7,0,34,34,research,open,-90.1558822766,20.4022168936
Peninsula Stripeless Snake,Coniophanes meridanus,August,7,0,173,173,research,open,-89.6438665146,21.0189679504
Central American Boa,Boa imperator,August,8,0,8,8,research,open,-89.75430333,21.265575
Brahminy Blindsnake,Indotyphlops braminus,August,4,0,454,454,research,,-89.6203094583,21.0960936223
Peninsula Stripeless Snake,Coniophanes meridanus,August,6,0,117,117,research,open,-89.6433275846,21.0195331757
Salmon-bellied Racer,Mastigodryas melanolomus,August,6,0,30,30,research,open,-89.2746881518,21.3424732885
Mexican Parrot Snake,Leptophis mexicanus,August,4,0,48,48,research,open,-89.537155,21.0996945
,Conophis lineatus concolor,August,6,0,?,? ,research,open,-89.285501,21.112604
Central American Boa,Boa imperator,August,6,0,16,16,research,open,-89.619445,21.0896971667
Brahminy Blindsnake,Indotyphlops braminus,July,1,0,8,8,research,,-89.565804322,21.0137867899
Colubrid Snakes,Colubridae,Unknown,0,0,91357,91357,casual,,-89.6361821517,20.6458111452
Green Rat Snake,Senticolis triaspis,August,7,0,70,70,research,open,-89.5615620911,20.8133522724
Mexican Parrot Snake,Leptophis mexicanus,August,5,0,12,12,research,open,-89.515945,21.0526471667
Faded Black-striped Snake,Coniophanes schmidti,August,6,0,65,65,research,open,-89.6236416667,21.0957055
Salmon-bellied Racer,Mastigodryas melanolomus,August,7,0,32,32,research,open,-89.287308231,20.7350152956
Yucatecan Cantil,Agkistrodon russeolus,August,10,0,4,4,research,,-89.6006083333,21.0451361667
,Imantodes gemmistratus luciodorsus,August,2,0,20,20,research,open,-89.7223664,21.0110753
Peninsula Stripeless Snake,Coniophanes meridanus,July,5,0,138,138,research,open,-89.6680719405,20.9729376427
Salmon-bellied Racer,Mastigodryas melanolomus,July,3,0,301,301,research,open,-89.7246806324,20.9951657208
Mexican Parrot Snake,Leptophis mexicanus,July,5,0,209,209,research,open,-89.7275291383,20.9946382856
Central American Boa,Boa imperator,July,5,0,946,946,research,open,-89.5988810062,21.0318656232
Central American Boa,Boa imperator,July,6,0,169,169,research,open,-89.6115383506,21.0335673831
Central American Boa,Boa imperator,July,7,0,293,293,research,open,-89.6120097488,21.0326592378
Yucatán Blunt-headed Tree Snake,Imantodes tenuissimus,August,6,0,?,? ,research,open,-89.6856389722,21.1290669722
Central American Boa,Boa imperator,August,5,0,?,? ,research,open,-89.733817,21.123884
Central American Boa,Boa imperator,August,7,0,22,22,research,open,-89.6217728,20.947659
Central American Boa,Boa imperator,July,7,0,221,221,research,open,-89.5823022723,20.9975887686
Rainforest Cat-eyed Snake,Leptodeira frenata,July,6,0,?,? ,research,open,-89.577447,21.1249119722
Yucatecan Cantil,Agkistrodon russeolus,July,10,0,?,? ,research,,-89.773729,21.135217
Central American Boa,Boa imperator,July,8,0,47,47,research,open,-89.6901337802,21.1296508095
Variable Coralsnake,Micrurus diastema,July,7,0,1363,1363,research,open,-89.6646142378,21.0386481381
Rainforest Cat-eyed Snake,Leptodeira frenata,January,4,0,180,180,research,open,-89.7373047844,20.988841384
Central American Boa,Boa imperator,August,7,0,205,205,research,open,-88.4459250793,20.5890069229
Yucatán White-lipped Snake,Symphimus mayae,June,6,0,?,? ,research,open,-88.3316116111,20.64923475
Yucatan Rat Snake,Pseudelaphe phaescens,Unknown,4,0,5891,5891,research,open,-88.484387286,20.506959504
Central American Boa,Boa imperator,August,8,0,31,31,research,open,-88.445871,20.589123
Central American Boa,Boa imperator,August,6,0,10,10,research,open,-89.5137166667,21.0525805
Terrestrial Snail Sucker,Geophis sartorii,August,6,2,9,9,research,open,-88.3344239742,20.6393099169
Central American Boa,Boa imperator,Unknown,7,0,1377,1377,research,open,-89.7441766039,21.0311320892
Speckled Racer,Drymobius margaritiferus,Unknown,7,0,2495,2495,research,open,-89.2307437956,21.2871238349
Central American Milksnake,Lampropeltis abnorma,April,10,0,207,207,research,open,-89.620102644,20.9029273716
Variable Coralsnake,Micrurus diastema,July,5,0,3644,3644,research,open,-89.2636045,21.3419002
Variable Coralsnake,Micrurus diastema,July,6,0,1085,1085,research,open,-89.5248966317,21.3097394796
Black-striped Snake,Coniophanes imperialis,May,1,0,?,? ,research,open,-90.2098059632,19.9640134916
Boa Constrictors,Boa,Unknown,0,0,53,53,casual,,-89.6395620704,21.0285524868
Red Coffee Snake,Ninia sebae,July,6,0,1952,1952,research,open,-89.5964483526,20.8285387716
Central American Boa,Boa imperator,July,11,0,38,30396,research,open,-89.5403007913,21.2254344797
Green Rat Snake,Senticolis triaspis,September,8,1,50,50,research,open,-89.6226882935,20.7404623544
Rainforest Cat-eyed Snake,Leptodeira frenata,February,5,0,4,4,research,open,-89.622669518,20.7404648638
Pygmy Snail Sucker,Geophis sanniolus,July,5,0,?,? ,research,open,-89.7422472222,21.1268805556
Yucatán Hognose Viper,Porthidium yucatanicum,July,9,0,205,205,research,open,-88.4459251,20.5890027
Chicken Snake,Spilotes pullatus,July,9,0,4,4,research,open,-89.2199180689,20.6560421249
